"","carL_log10","cheL_rel","cheW_rel","cheD_rel","func_grp"
"BUTH_Ananteris_mauryi",0.411502559241318,1.40225406512694,0.158225986698187,0.138294138137888,"humicolous"
"BUTH_Ananteris_franckei",0.425983474661747,1.26388841564648,0.122960852767304,0.0959048162112678,"humicolous"
"BOTH_Bothriurus_rabeca",0.560558388588904,1.21956654113001,0.463964925683192,0.312984444176395,"fossorial"
"BOTH_Bothriurus_asper",0.597540641705648,1.53995904128708,0.661564392060852,0.764025895976691,"fossorial"
"BOTH_Bothriurus_rochai",0.656833863067081,1.30100635051613,0.392404807436709,0.506880067604168,"fossorial"
"BUTH_Jaguajir_rochae",0.851941302004332,1.64386636250048,0.428546221525454,0.466299284734409,"epigean"
"BUTH_Physoctonus_debilis",0.549585434650043,1.79692958895228,0.420133550980453,0.360110880613538,"corticolous"
"BUTH_Tityus_pusillus",0.555547250488243,1.81768252751527,0.350660148796574,0.320265381753819,"epigean"
"BUTH_Tityus_stigmurus",0.792047575678861,1.88180492330957,0.334645909666392,0.300866559879395,"lapidicolous"
"BUTH_Tityus_martinpaechi",0.835679001721746,1.85347399829497,0.37233589087809,NA,"lapidicolous"
"BUTH_Tityus_neglectus",0.795843396534613,2.13793485412437,0.434008612355387,0.373460961081929,"dendricolous"
"BUTH_Ananteris_otavianoi",0.394790356082213,1.37337662337662,0.13474025974026,0.13961038961039,"humicolous"
"BUTH_Ananteris_sp_caetes",0.529508839157631,1.25959547874669,0.175259415313528,0.24351581531924,"humicolous"
"BUTH_Jaguajir_agamemnon",0.977501843426878,1.73223040588728,0.363788157084424,0.378833160827707,"epigean"
"BUTH_Tityus_brazilae",0.858294950146843,2.03947048926115,0.3371877992354,0.317042215409487,"corticolous"
