site,forest,lon,lat,soil,bio_1,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9
Cuite_horto,ca,-36.158311,-6.4925,LP,238,247,224,746,180,7,89,521,22,103,149,82,69,913,298,180,118,244,244
Frei_Martinho,ca,-36.4572,-6.3972,LP,257,266,242,516,133,3,102,386,11,87,86,88,70,913,320,194,126,261,261
Picui,ca,-36.3066,-6.5411,LP,248,257,233,451,112,3,97,333,10,69,58,85,69,931,310,187,122,253,254
Nova_Palmeira,ca,-36.4488,-6.643,LP,244,253,229,542,139,3,104,414,10,91,47,87,70,937,306,182,124,250,248
Pedra_Lavrada,ca,-36.4683,-6.7691,LP,248,257,232,443,114,3,105,340,9,72,36,87,70,969,310,186,124,254,248
Sossego,ca,-36.2386,-6.7811,SN,241,250,225,540,140,4,93,397,13,163,73,82,69,967,300,182,118,247,246
Barauna,ca,-36.2411,-6.6413,SN,241,250,226,624,160,5,94,458,15,90,83,83,69,944,301,182,119,247,246
Cajazeiras_Boqueirao,ca,-38.575,-6.9847,LV,277,293,261,925,236,5,101,646,20,103,69,94,66,1061,352,210,142,276,274
Nova_Floresta,ca,-36.1908,-6.4641,LP,239,248,224,686,169,6,90,485,19,94,150,83,69,913,299,180,119,244,245
Cajazeiras_Serra_do_Vital,ca,-38.5841,-7.0477,LV,265,281,249,1039,250,6,98,701,28,119,79,94,66,1069,340,198,141,263,263
Cajazeiras,ca,-38.5427,-6.9105,TC,280,295,264,919,234,5,102,643,18,100,66,94,66,1040,354,213,141,278,278
Sousa,ca,-38.215,-6.7627,TC,285,299,270,899,229,5,102,629,17,79,71,97,68,953,359,217,141,285,282
Pombal,ca,-37.7772,-6.7641,LV,285,297,270,753,188,5,105,558,15,54,67,99,69,921,357,215,141,285,279
Patos,ca,-37.2727,-7.06,LV,276,287,259,686,195,2,113,529,8,149,57,96,69,1034,345,207,138,281,267
Sao_Mamede_Riacho_da_Pia,ca,-37.2413,-6.9933,LV,276,287,259,655,188,2,114,504,7,141,52,96,70,1009,345,207,138,281,267
Teixeira,ca,-37.2516,-7.2086,LP,247,257,230,754,207,3,109,566,11,169,71,96,70,1022,315,178,136,252,244
Taperoa,ca,-36.823,-7.2005,LV,251,262,234,552,146,3,106,419,10,113,38,91,69,1054,317,186,130,259,250
Sao_Joao_do_Cariri,ca,-36.5258,-7.3805,LV,250,262,232,424,101,4,94,301,12,262,48,85,68,1118,313,188,124,259,249
Areia,ca,-35.718,-6.9675,LX,235,245,220,1204,186,23,58,522,73,390,357,70,67,964,287,184,103,243,239
Campina_Grande,ca,-35.9908,-7.2163,LP,238,249,221,653,115,9,65,323,28,238,173,74,68,1032,293,183,109,246,242
Solanea,ca,-35.6055,-6.7405,LX,237,246,222,1165,186,20,59,530,68,402,320,68,67,920,287,187,100,244,241
Bananeiras,ca,-35.6663,-6.7611,LX,235,244,220,1188,188,21,58,534,71,402,331,69,67,926,286,184,101,241,239
Itabaiana,ca,-35.3413,-7.3141,LX,259,270,243,953,146,19,59,418,58,295,272,57,64,975,303,214,89,244,262
Inga,ca,-35.5988,-7.2913,LX,255,266,238,799,128,13,62,376,41,237,251,65,66,1020,304,205,98,239,258
Queimadas,ca,-35.9036,-7.3597,LP,240,251,223,724,123,10,65,341,33,241,208,72,67,1046,294,186,107,249,244
Cabaceiras,ca,-36.2858,-7.4963,SN,248,260,230,396,85,4,77,241,12,187,75,80,67,1125,308,190,118,257,253
